region,province,city,district,position,candidate_name,party,votes
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"PLAZA, CARPIN",NUP,9353
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"OTERO, DICKEN",IND,8929
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"BOMEDIANO, ANTIT",IND,8115
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"LICATAN, ONDOY",IND,7120
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"JUNGCO-RONQUILLO, GAGA",IND,7051
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"CASIRO, ORLY",NUP,6676
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"GOOC, KUYA-ARNEL",IND,6257
REGION XIII,AGUSAN DEL SUR,SANTA JOSEFA,LONE,COUNCILOR,"BITANG, HERMES",NUP,6224
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"BENIGIAN, BEBE",NUP,9196
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"LAÑAS, BOBONG",NUP,9020
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"TOMA, ASIS",NUP,9014
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"BARES, BADONG",NUP,9005
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"GARLIT, FRANCISCO",NUP,8901
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"CORANES, LOLOY",NUP,8847
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"DUARTE, JOVAN",NUP,8803
REGION XIII,AGUSAN DEL SUR,SIBAGAT,LONE,COUNCILOR,"VERGARA, VER",NUP,8130
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"MEDRANO, LORLIE",NUP,11454
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"CANO, NENE",NUP,11018
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"MASENDO, JAN JESRYL",NUP,10194
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"SAURO, JOHNNY",NUP,10027
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"MADELO, NILA",NUP,9953
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"ALMONTE, BENDOZ",NUP,8176
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"JUATON, EDGAR",NUP,7844
REGION XIII,AGUSAN DEL SUR,TALACOGON,LONE,COUNCILOR,"UCAY, MECHAEL",NUP,7726
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"DEMEGILLO, KRIS LEIGH",NUP,16266
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"LAMBERTO, RECHLY",NUP,14709
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"PAGAYON, EDCIL",NUP,14705
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"DIEL, KROI",NUP,14167
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"MABUNGA, ROSE",NUP,13550
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"CAGATIN, MANNY",NUP,12720
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"ABIAO, EDGAR",NUP,11774
REGION XIII,AGUSAN DEL SUR,TRENTO,LONE,COUNCILOR,"BURDEOS, ANASTACIO JR",NUP,11774
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"MONDEJAR, LALAY",NUP,12211
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"PLAZA, ERIC",NUP,12186
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"BRIGOLE, RAYMON JAY",NUP,11823
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"CALIBAYAN, ARCHIE",NUP,11554
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"TANDA, HECTOR",NUP,11467
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"MONDEJAR, JONITO",NUP,11085
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"CARPESANO, RUEL",NUP,10788
REGION XIII,AGUSAN DEL SUR,VERUELA,LONE,COUNCILOR,"TULAY, ELMER",NUP,9744
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"BELARMINO, BABY NESLYN",NPC,10559
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"REFOL, BUTSOY",IND,9225
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"CANDELARIO, CLINTON",LAKAS,8864
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"MASANGYA, INDAY KULOT",NPC,8739
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"VILLAS, JONATHAN",IND,8225
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"DEL ROSARIO, GUDING",NPC,7941
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"CATUIRAN, KAP HERNAN",NPC,7587
REGION VI,AKLAN,ALTAVAS,LONE,COUNCILOR,"BELARMINO, COSETTE",NPC,7184
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"BELTRAN, CRISPINO JR",LAKAS,12124
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"FELICIANO, CIRIACO",LAKAS,11739
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"CLEOPE, RALPH",NPC,11588
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"VILLARUEL, ROMAN",LAKAS,11367
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"YASA, KARL",NPC,10838
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"URQUIOLA, NENE YANE",NPC,10816
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"VILLANUEVA, RHIEMAN",NPC,10746
REGION VI,AKLAN,BALETE,LONE,COUNCILOR,"GARCIA, GERSON",LAKAS,10474
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"REYNALDO, PAPA LANDO",NPC,16719
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"FUENTES, MAI-MAI",NPC,16349
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"FERNANDEZ, NONONG",LAKAS,13936
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"SERASPI, RUBIN",LAKAS,13436
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"IMPERIAL, AIMOND",AKSYON,13236
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"PASTRANA, ABE JR",NPC,9975
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"MASANGYA, EMMANUEL",NPC,9203
REGION VI,AKLAN,BANGA,LONE,COUNCILOR,"TUPAS, JUS",LAKAS,9028
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"BAUTISTA, WILLIAM JR.",AKSYON,10145
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"PERLAS, POGI",NPC,8600
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"DAVID, CHAN CHAN",LAKAS,8502
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"DEL ROSARIO, ERIC",NPC,8324
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"JACINTO, KAP NONONG",AKSYON,8227
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"PENALBA, BONG",AKSYON,7913
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"RAMOS, JOY",LP,7906
REGION VI,AKLAN,BATAN,LONE,COUNCILOR,"BAUTISTA, DOC DEE",LAKAS,7786
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"PATRICIO, TOTE",NPC,6377
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"OBRIQUE-TABO, GENEVIEVE",NUP,6311
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"MALAYAS, JOEVEN",NUP,6170
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"LABINDAO, INDAY",LAKAS,5297
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"LABINDAO-YEBAN, ANIE",LAKAS,5265
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"OBRIQUE, BOY TASIONG",NP,5238
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"SUALOG, NONOY BENITO",AKSYON,5134
REGION VI,AKLAN,BURUANGA,LONE,COUNCILOR,"PANAGSAGAN, TARO",LAKAS,5005
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"INOCENCIO, NEPOY",LAKAS,17745
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"ILINON, HAZZI",LAKAS,17689
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"BRIONES, JOY-JOY",LAKAS,16670
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"ASCAÑO, KAP-RIJAN",LAKAS,16179
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"AGUIRRE, NIÑO",LAKAS,16045
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"SENATIN, MIHREL",LAKAS,15681
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"MAGBIRAY, RITA",LAKAS,14702
REGION VI,AKLAN,IBAJAY,LONE,COUNCILOR,"FERNANDEZ, TUAN",LAKAS,14484
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"LUCES, KETCHIE",NPC,23032
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"GUZMAN, MATT",NPC,22728
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"REBALDO, RAYMAR ACEVEDO",LAKAS,21542
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"DELA CRUZ, ATTY CHRISTINE",NPC,21003
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"LACHICA, WILLIAM JR",NP,19645
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"LACHICA, ENGR. EMERSON",PFP,19599
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"BAUTISTA, REX",LAKAS,19365
REGION VI,AKLAN,KALIBO,LONE,COUNCILOR,"MARTE, RONALD",NPC,17905
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"DELA CRUZ, LUCY",LAKAS,5460
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"VILLARUBIA, GEORGE",LAKAS,5375
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"BESANA, PETER CYRIL",LAKAS,5174
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"IRABON, ULYSSES",LAKAS,4995
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"SILVERIO, PAENG",LAKAS,4854
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"BUENAFLOR, JOJO",AKSYON,4366
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"TARAN, RODULFO",LAKAS,4189
REGION VI,AKLAN,LEZO,LONE,COUNCILOR,"MORALES, ERMEDA",NPC,4167
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"TEODOSIO, TIM BRYAN",PFP,8955
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"NAVAROSA, TON-TON",LAKAS,8484
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"ZULUETA, KAP ALLAN",AKSYON,7388
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"LANCISO, MILA",NP,7201
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"NAVAROSA, PAUL ALFRED",PFP,7097
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"NAVAROSA, NAP-NAP",NPC,7031
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"ZARSA, YOYOT",LAKAS,6793
REGION VI,AKLAN,LIBACAO,LONE,COUNCILOR,"PALMA, MA. JUNALYN",LAKAS,6092
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"TUMACA, JESSIE",NPC,7315
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"NAVARRETE, JANDY",PFP,7186
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"LIM, ALLAN",NPC,6494
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"NABOR, ANTHONY",NPC,6340
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"GUBATINA, VERN",NPC,6062
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"NADUA, OYO",LAKAS,6049
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"NAGTALON, TOTO FEL",LAKAS,5976
REGION VI,AKLAN,MADALAG,LONE,COUNCILOR,"TORRES, EUDES",NUP,5831
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"TORRES, ABENCIO HB",LAKAS,10353
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"DELA CENA, NENE NERLI",AKSYON,10017
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"LEGASPI, BOBBY CLYDE",LP,9562
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"AMBOBOYOG, ANN",AKSYON,9428
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"LEGASPI, DOC AYIE",AKSYON,9305
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"TORRENUEVA, BOY",LAKAS,9061
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"VARGAS, RANDY POPOY",NPC,9034
REGION VI,AKLAN,MAKATO,LONE,COUNCILOR,"TENAZAS, MAY MAY",LAKAS,8914
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"CAWALING-PADERES, NAT-NAT",NP,18341
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"GELITO, GRENGO",LAKAS,14593
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"GELITO, DODOY PUTO",AKSYON,12968
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"AGUIRRE, VICKY",AKSYON,12944
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"FLORES, JUNTHIR",NPC,12603
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"PAGSUGUIRON, HOPE",AKSYON,12448
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"PALMA, ALAN",AKSYON,12389
REGION VI,AKLAN,MALAY,LONE,COUNCILOR,"CASIDSID, APIO",NP,12292
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"IMPERIAL, GREG",LAKAS,9239
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"GARCIA, EDWIN",NPC,8753
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"QUINISIO, RAUL",LAKAS,8316
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"AGUSTINO, BAHOE",LAKAS,8076
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"TACUD, NESTOR",LAKAS,7959
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"IQUIÑA, DONDON",LAKAS,7777
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"NOBLEZA, RISTITUTO",NPC,7375
REGION VI,AKLAN,MALINAO,LONE,COUNCILOR,"ISCALA, JEROME",LAKAS,6440
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"DELA TORRE, CELON",NP,11519
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"CEZAR, WILFREDO",AKSYON,11384
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"DE ASIS-NECOR, LUCITA",NP,10907
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"ZALDIVAR, JOJO",NP,10636
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"DELA TORRE, LEOVILYN",NP,10218
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"PALANOG, CICIRON MYTON",LAKAS,9759
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"SADIASA, GODOFREDO",LAKAS,9759
REGION VI,AKLAN,NABAS,LONE,COUNCILOR,"BERONDO, BRENDA",LAKAS,8999
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"QUIMPO, ESBOY",PFP,12648
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"ALFARO, PITCHE JOY",NPC,11522
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"PERLAS, SNOLLY",NP,10386
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"MALONOSAN, JOJO",NPC,10107
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"RETAMAR, JOB STAN",NPC,9963
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"PERALTA, KRISTIAN",LP,9804
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"DELA CRUZ, JANETH",NP,9627
REGION VI,AKLAN,NEW WASHINGTON,LONE,COUNCILOR,"BAUTISTA, JAZEL",LAKAS,9563
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"ILIGAN, PEPITO",NP,11636
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"VEGA, JEROME",NPC,11327
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"ANDRADA, ALLYN",LAKAS,10955
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"RICAFUENTE, BOY RUFF",LAKAS,10537
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"TEMPLONUEVO, TOTO",LAKAS,10418
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"JAUOD, LILYN",LAKAS,10348
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"ENERO, FILEMON OLONG",AKSYON,10053
REGION VI,AKLAN,NUMANCIA,LONE,COUNCILOR,"REYES, TOTONG",LAKAS,9865
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"SEÑERIS, SHOK",NP,8563
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"GELITO, JULIOUS",AKSYON,7917
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"TIGSON, GLENN",LP,7730
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"TALA-OC, MARK LINN",NP,7620
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"TEFORA, NONOY",LP,7464
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"GARINO, GARI",NP,7308
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"TORIAGA, DON-DON",AKSYON,7107
REGION VI,AKLAN,TANGALAN,LONE,COUNCILOR,"PANAGSAGAN-MOLO, MAM SOL",NPC,5957
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"BERMAS, HERBERT",LP,21341
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"TORRE, FAITH",LP,19650
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"BERMUNDO, DADA",LP,19636
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"BERCASIO, NICOLE",LAKAS,19480
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"BELLEZA, RODEL",LAKAS,19466
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"CAO, JHUN",LAKAS,19194
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"BAÑARES, ELEN",LP,18975
REGION V,ALBAY,BACACAY,LONE,COUNCILOR,"ROMANO, LARS",LP,18815
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"GAMBOA, CHING",LAKAS,25720
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"BUENA, IAN",LAKAS,21269
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"GO, BEGS",LAKAS,20709
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"NAPA, JUN",LAKAS,20579
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"MOYO, MILLARD",LAKAS,18787
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"VIBAR, LEI",LAKAS,17043
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"MISOLANIA, DENNISE",LAKAS,16535
REGION V,ALBAY,CAMALIG,LONE,COUNCILOR,"DINO, SHEI",LAKAS,14827
REGION V,ALBAY,DARAGA,LONE,COUNCILOR,"MAGALONA, BOB",LAKAS,55788
REGION V,ALBAY,DARAGA,LONE,COUNCILOR,"NUÑEZ, JUN",IND,51032
REGION V,ALBAY,DARAGA,LONE,COUNCILOR,"DURAN, JULIUS",LAKAS,37333
REGION V,ALBAY,DARAGA,LONE,COUNCILOR,"MACASINAG, ATORNI IAN",IND,36519
REGION V,ALBAY,DARAGA,LONE,COUNCILOR,"DE LUMEN, PILO",IND,32484
REGION V,ALBAY,DARAGA,LONE,COUNCILOR,"SORSOGON, KAP WAWA",LAKAS,29083
REGION V,ALBAY,DARAGA,LONE,COUNCILOR,"BAYLON, CARLOS",LAKAS,28180
REGION V,ALBAY,DARAGA,LONE,COUNCILOR,"MARCELLANA, JOEY",LAKAS,26026
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"PADUA, KATE",NUP,35303
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"FLORES, TISAY",LAKAS,30805
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"AMANO, NIKKO",LAKAS,28162
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"TINGZON, JULY",NUP,27559
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"MATZA, RICKY",NUP,25796
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"AREVALO, DONG",IND,25790
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"BAÑAGA, BOB",NUP,25711
REGION V,ALBAY,GUINOBATAN,LONE,COUNCILOR,"PALABRICA, LANDO",LAKAS,25688
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"NOBLEZA, GING",LAKAS,6251
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"SALOMON, MER",NUP,5924
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"QUIRONA, LINDA",NUP,5825
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"ENCISO, JUN",LAKAS,5248
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"ARCANGEL, BRANDY",IND,5224
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"TOLOSA, NADIER JR.",NUP,5159
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"GOMEZ, MONG",NUP,4903
REGION V,ALBAY,JOVELLAR,LONE,COUNCILOR,"ANZANO, MICHAEL",LAKAS,4592
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"BALTAZAR, VINCE",PDPLBN,75859
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"BELTRAN, LAW",LAKAS,68620
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"BUBAN, ISMAEL IV",LAKAS,63704
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"JAO, ALEXANDER",IND,58530
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"LUCILA, ATTY. BUTCH",LAKAS,56963
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"LEE, JP",LAKAS,56653
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"LAJARA, CHARLTON",LAKAS,55825
REGION V,ALBAY,LEGAZPI,LONE,COUNCILOR,"IMPERIAL, SUNSHINE",LAKAS,54982
REGION V,ALBAY,LIBON,LONE,COUNCILOR,"AYO, TOR",LAKAS,21350
REGION V,ALBAY,LIBON,LONE,COUNCILOR,"MARONILLA, BILL",LAKAS,20996
REGION V,ALBAY,LIBON,LONE,COUNCILOR,"DYCOCO, DAN",LAKAS,19526
REGION V,ALBAY,LIBON,LONE,COUNCILOR,"VELASCO, CHIZ",NUP,19519
REGION V,ALBAY,LIBON,LONE,COUNCILOR,"VILLANUEVA-VELASCO, ABBY",NUP,18372
REGION V,ALBAY,LIBON,LONE,COUNCILOR,"VELASCO, BONG",NUP,18270
REGION V,ALBAY,LIBON,LONE,COUNCILOR,"CORTES, MARK IAN",LAKAS,18217
REGION V,ALBAY,LIBON,LONE,COUNCILOR,"BRIONES, NONG",LAKAS,16438
REGION V,ALBAY,LIGAO,LONE,COUNCILOR,"CHUA, SHAINE",NUP,39060
REGION V,ALBAY,LIGAO,LONE,COUNCILOR,"GONZALEZ-ALSUA, PATTY",NUP,36029
REGION V,ALBAY,LIGAO,LONE,COUNCILOR,"REVILLA, RJ",LAKAS,29764
REGION V,ALBAY,LIGAO,LONE,COUNCILOR,"MANLANGIT, AMADO JR.",NUP,28701
REGION V,ALBAY,LIGAO,LONE,COUNCILOR,"ALDAY, FELIPE",NUP,26469
REGION V,ALBAY,LIGAO,LONE,COUNCILOR,"RESIDILLA, TED",NUP,24194
REGION V,ALBAY,LIGAO,LONE,COUNCILOR,"SALCEDA, YAN",LAKAS,23939
REGION V,ALBAY,LIGAO,LONE,COUNCILOR,"GONZALES, STEVE",NUP,23548
REGION V,ALBAY,MALILIPOT,LONE,COUNCILOR,"AMPIG, NONG",LP,13772
REGION V,ALBAY,MALILIPOT,LONE,COUNCILOR,"BROTAMONTE, PATERNO",LAKAS,13243
REGION V,ALBAY,MALILIPOT,LONE,COUNCILOR,"BIDES, JOEY",LAKAS,12111
REGION V,ALBAY,MALILIPOT,LONE,COUNCILOR,"BALINGBING, SANDY",LP,11685
REGION V,ALBAY,MALILIPOT,LONE,COUNCILOR,"BIÑAS, FINA",LP,11437
REGION V,ALBAY,MALILIPOT,LONE,COUNCILOR,"BOBIS, JOEL",LAKAS,11308
REGION V,ALBAY,MALILIPOT,LONE,COUNCILOR,"GONZALES, GILBERT JR.",LAKAS,11175
REGION V,ALBAY,MALILIPOT,LONE,COUNCILOR,"BIEN, JOEPHIL",LP,11146
REGION V,ALBAY,MALINAO,LONE,COUNCILOR,"MAHINAY, REYMOND",LP,14368
REGION V,ALBAY,MALINAO,LONE,COUNCILOR,"FAJUT, IRENE",LP,14358
REGION V,ALBAY,MALINAO,LONE,COUNCILOR,"ALCALA, BANI",LP,12805
REGION V,ALBAY,MALINAO,LONE,COUNCILOR,"CERIOLA, ERNA",LAKAS,12336
REGION V,ALBAY,MALINAO,LONE,COUNCILOR,"CERIOLA, JOEL",LP,12045
REGION V,ALBAY,MALINAO,LONE,COUNCILOR,"CELLONA, BELEN",LP,11903
REGION V,ALBAY,MALINAO,LONE,COUNCILOR,"ALBANO, ADELE",LP,11719
REGION V,ALBAY,MALINAO,LONE,COUNCILOR,"APERIN, BA",LAKAS,11527
REGION V,ALBAY,MANITO,LONE,COUNCILOR,"DAZ, ERWIN",PFP,7969
REGION V,ALBAY,MANITO,LONE,COUNCILOR,"DAEN, WILLIAM",LAKAS,7712
REGION V,ALBAY,MANITO,LONE,COUNCILOR,"DAEP, BADBOY",LAKAS,7031
REGION V,ALBAY,MANITO,LONE,COUNCILOR,"GUIRIBA, ARLY",LAKAS,6445
REGION V,ALBAY,MANITO,LONE,COUNCILOR,"BALITAON, LORRIS JAN",LAKAS,6048
REGION V,ALBAY,MANITO,LONE,COUNCILOR,"ABELLANO, NELIA",PDPLBN,5772
